"title","genres","tmdb_id","overview","release_year"
"Christmas Bloody Christmas","Horror",1019836,"It's Christmas Eve and Tori just wants to get drunk and party, but when a robotic Santa Claus at a nearby toy store goes haywire and begins a rampant killing spree through her small town, she's forced into a battle for survival.","2022"
"How the Grinch Stole Christmas","Family, Comedy, Fantasy",8871,"The Grinch decides to rob Whoville of Christmas - but a dash of kindness from little Cindy Lou Who and her family may be enough to melt his heart...","2000"
"Dealing with Christmas","Comedy, Adventure, Action",1204912,"On Christmas Eve, Greg, a solitary and taciturn police officer, doesn't hesitate to leave his daughter behind to go on a mission. To teach him a lesson, Santa Claus decides to grant his daughter's wish: that her father looks like Richard Silestone, the good-natured and heavily indebted family man from the beloved Christmas movie she adores. While Greg is sent into this improbable world, Richard accidentally lands in the real world and both men realize they have no choice but to complete each other's missions to reclaim their respective lives.","2023"
"Christmas","Drama, TV Movie",373519,"An adaptation of Dickens' ""A Christmas Carol "" with Robert Guillaume as John Grin, the Scrooge character. His son Kevin has a role as the Bob Cratchit character, with Geoffrey Holder and Ted Lange as two of the Ghosts.","1986"
"Christmas As Usual","Romance, Comedy, Drama",1202584,"To celebrate their engagement, Thea takes Jashan home — but his Indian roots and her family's Norwegian traditions clash in a chaotic Christmas.","2023"
"Christmas","",488525,"Many symbols and legends have become associated with the Christmas holiday, yet few know the meanings behind them. This video focusses on both the legendary and religious stories of Christmas to help children understand that there is more to the holiday than just the department store Santa Claus.","1994"
"Christmas","Comedy, Drama",362701,"""This singular, bleakly funny, R-rated vision of Kiwi life clinches King's position as the most distinctive new voice in NZ film, as insistent and inescapable as The Warehouse jingle."" - New Zealand International Film Festival director Bill Godsen.  Made at the beginning of the digital revolution, this micro-budget feature went on to win several awards and be selected for major Fests incl. Toronto, Locarno, Edinburgh, and Melbourne.","2003"
"Barbie in A Christmas Carol","Animation, Family",13459,"On Christmas Eve, Kelly is reluctant to go to a Christmas Eve ball, so Barbie tells her the story of Eden Starling, a glamorous singing diva in the Victorian England and the owner of a theatre house. However, Eden is self-centered and loves only herself. She is frequently accompanied by her snooty cat, Chuzzlewit. She does not believe in Christmas and orders all her employees to work on Christmas.","2008"
"Diary of a Wimpy Kid Christmas: Cabin Fever","Animation, Comedy, Family",1123093,"The winter holidays are turning out to be especially stressful for Greg Heffley this year. After accidentally damaging a snowplow while making a snowman with best friend Rowley Jefferson, Greg worries he won’t get the new video game console he so desperately wants for Christmas. To make matters worse, he gets snowed in with his family, including his grumpy older brother Rodrick and annoying younger brother Manny.","2023"
"World's First Christmas","Comedy, Drama",1103787,"A young girl wishes Christmas was over for good, and her wish is granted with unexpected consequences.","2023"
"Christmas Do-Over","Comedy, Family, Fantasy, TV Movie",26987,"A ne'er do well father and ex-husband who always raced his way through the holidays is forced to relive Christmas Day time and again until he gets it right in this family oriented fantasy comedy starring Jay Mohr. It's Christmas time once again, and as usual Kevin (Moore) is scrambling to get his son Ben a last minute gift before stopping by his ex-wife Jill's house for a quick swig of eggnog. Ben can't stand Jill's impossibly perfect new boyfriend, and the prospect of spending the entire evening with his former inlaws is nearly too painful to ponder. But this Christmas things are going to be different, because this Christmas might just last forever. At first Kevin resists the curious development by simply reverting to his childish ways, though he is about to find out that sometimes in order to build a better future one must finally make amends with the past. ~ Jason Buchanan","2006"
"National Lampoon's Christmas Vacation","Comedy",5825,"It's Christmastime, and the Griswolds are preparing for a family seasonal celebration. But things never run smoothly for Clark, his wife Ellen, and their two kids. Clark's continual bad luck is worsened by his obnoxious family guests, but he manages to keep going, knowing that his Christmas bonus is due soon.","1989"
